index,cultivable,predicted_class,conf
1772,1,cultivable,0.959
10645,0,non-cultivable,1.000
5756,1,cultivable,0.540
12099,0,non-cultivable,0.999
8342,0,non-cultivable,0.829
16409,0,non-cultivable,1.000
13904,0,non-cultivable,1.000
7326,1,cultivable,0.557
12927,0,non-cultivable,0.815
9972,0,non-cultivable,0.788
23633,1,cultivable,0.568
3798,0,non-cultivable,0.538
23699,0,non-cultivable,0.959
2473,1,cultivable,0.963
4565,0,non-cultivable,1.000
177,1,cultivable,0.991
4383,1,cultivable,0.897
16864,1,cultivable,0.617
12888,0,non-cultivable,0.647
9149,1,cultivable,0.928
10930,1,cultivable,0.870
26065,1,cultivable,0.699
4295,1,cultivable,0.648
8977,1,cultivable,0.647
6979,0,non-cultivable,0.882
19154,1,cultivable,0.746
11366,1,cultivable,0.509
15557,0,non-cultivable,1.000
17130,0,non-cultivable,1.000
2685,1,cultivable,0.606
2715,0,non-cultivable,0.983
24617,0,non-cultivable,0.646
5656,0,non-cultivable,1.000
952,1,cultivable,0.891
21902,0,non-cultivable,0.512
4021,0,non-cultivable,1.000
2945,1,cultivable,0.833
18075,0,non-cultivable,0.990
12026,1,cultivable,0.754
10453,0,non-cultivable,0.856
6818,1,cultivable,0.798
24535,1,cultivable,1.000
7138,0,non-cultivable,0.927
15267,1,cultivable,0.945
26673,1,cultivable,1.000
18985,0,non-cultivable,1.000
9418,0,non-cultivable,0.959
8429,1,cultivable,0.997
23114,1,cultivable,0.681
25242,1,cultivable,1.000
3342,0,non-cultivable,1.000
24049,1,cultivable,0.820
22489,1,cultivable,0.541
8638,1,cultivable,0.996
5173,0,non-cultivable,0.998
4526,1,cultivable,0.921
17181,0,non-cultivable,0.671
4710,1,cultivable,0.750
11028,1,cultivable,0.855
8644,1,cultivable,0.974
26692,1,cultivable,1.000
15515,0,non-cultivable,0.960
7575,0,non-cultivable,1.000
21655,0,non-cultivable,0.600
26205,1,cultivable,1.000
9524,1,cultivable,0.913
5026,1,cultivable,0.730
19881,0,non-cultivable,0.819
18346,0,non-cultivable,0.753
13174,1,cultivable,0.989
17068,1,cultivable,0.944
25577,0,non-cultivable,0.850
4563,0,non-cultivable,1.000
1369,0,non-cultivable,0.997
20774,1,cultivable,0.919
23361,0,non-cultivable,0.841
14191,1,cultivable,0.911
16183,0,non-cultivable,0.872
22964,1,cultivable,0.980
9026,1,cultivable,0.847
3369,0,non-cultivable,0.994
25494,1,cultivable,1.000
4376,1,cultivable,0.915
15412,0,non-cultivable,0.558
8806,1,cultivable,0.714
22062,0,non-cultivable,1.000
1221,0,non-cultivable,0.572
26586,1,cultivable,1.000
6465,0,non-cultivable,0.915
24682,0,non-cultivable,0.900
6043,1,cultivable,0.972
2753,0,non-cultivable,0.997
18410,0,non-cultivable,0.660
11098,0,non-cultivable,1.000
3444,1,cultivable,0.896
12143,0,non-cultivable,0.953
20019,0,non-cultivable,0.953
8800,0,non-cultivable,0.944
22855,0,non-cultivable,0.603
24343,1,cultivable,0.976
13454,0,non-cultivable,0.998
9535,1,cultivable,0.998
26416,1,cultivable,0.551
21556,0,non-cultivable,0.516
21199,0,non-cultivable,0.505
25805,1,cultivable,1.000
12234,0,non-cultivable,0.997
4851,1,cultivable,0.989
2500,1,cultivable,0.925
724,1,cultivable,0.657
7805,0,non-cultivable,0.999
11794,0,non-cultivable,1.000
17522,0,non-cultivable,0.981
1671,0,non-cultivable,0.997
23854,1,cultivable,0.896
6534,0,non-cultivable,0.986
6093,0,non-cultivable,1.000
20982,1,cultivable,0.544
1264,0,non-cultivable,0.749
25223,0,non-cultivable,0.992
20566,1,cultivable,0.980
15824,0,non-cultivable,1.000
4342,0,non-cultivable,0.908
10060,1,cultivable,0.972
22367,0,non-cultivable,1.000
11994,0,non-cultivable,0.984
16412,0,non-cultivable,1.000
17714,0,non-cultivable,1.000
20740,0,non-cultivable,1.000
10066,0,non-cultivable,0.594
3900,0,non-cultivable,0.999
23865,0,non-cultivable,0.842
9042,0,non-cultivable,0.906
24541,1,cultivable,0.995
6937,1,cultivable,0.764
13816,0,non-cultivable,0.997
4133,1,cultivable,0.961
26200,1,cultivable,0.778
11189,1,cultivable,0.960
12264,1,cultivable,0.763
13081,0,non-cultivable,0.999
21434,0,non-cultivable,0.996
18915,0,non-cultivable,0.634
4650,0,non-cultivable,0.936
18044,0,non-cultivable,1.000
10954,0,non-cultivable,1.000
7459,0,non-cultivable,0.995
25517,0,non-cultivable,0.805
23293,1,cultivable,0.746
23146,0,non-cultivable,0.998
24249,0,non-cultivable,0.920
10664,0,non-cultivable,0.928
5683,0,non-cultivable,0.663
10892,0,non-cultivable,1.000
23723,0,non-cultivable,0.987
16985,1,cultivable,0.753
23585,0,non-cultivable,0.501
14636,0,non-cultivable,0.967
8860,1,cultivable,0.967
9451,0,non-cultivable,0.896
21735,1,cultivable,0.924
749,1,cultivable,0.872
1108,1,cultivable,0.912
26731,1,cultivable,1.000
19162,1,cultivable,0.681
23137,0,non-cultivable,0.855
6396,0,non-cultivable,0.543
3253,0,non-cultivable,0.540
24075,1,cultivable,0.859
16983,0,non-cultivable,0.672
18747,0,non-cultivable,0.974
16636,1,cultivable,0.686
21136,0,non-cultivable,1.000
13631,0,non-cultivable,1.000
22948,1,cultivable,0.568
14905,1,cultivable,0.725
7585,0,non-cultivable,0.686
17681,0,non-cultivable,1.000
26667,1,cultivable,1.000
11631,0,non-cultivable,0.998
8019,0,non-cultivable,1.000
19984,0,non-cultivable,1.000
3678,1,cultivable,0.790
4759,1,cultivable,0.655
3713,0,non-cultivable,0.814
17362,1,cultivable,0.602
21455,0,non-cultivable,1.000
17391,0,non-cultivable,0.788
26401,1,cultivable,1.000
9693,1,cultivable,0.723
16621,1,cultivable,0.887
26297,1,cultivable,0.881
16691,0,non-cultivable,0.916
24809,0,non-cultivable,0.857
8326,0,non-cultivable,0.998
3462,0,non-cultivable,0.934
1064,1,cultivable,0.594
7494,1,cultivable,0.764
14237,1,cultivable,0.819
5430,0,non-cultivable,0.846
20391,1,cultivable,0.957
6965,0,non-cultivable,0.999
14740,0,non-cultivable,0.997
6980,0,non-cultivable,0.509
21621,0,non-cultivable,1.000
22943,1,cultivable,0.549
24835,1,cultivable,0.997
6289,0,non-cultivable,0.504
7276,0,non-cultivable,0.988
18404,1,cultivable,0.557
4363,1,cultivable,0.990
10637,1,cultivable,0.732
10903,0,non-cultivable,0.999
9987,1,cultivable,0.946
9763,1,cultivable,0.999
12917,1,cultivable,0.811
23707,1,cultivable,0.540
13137,0,non-cultivable,0.752
24396,0,non-cultivable,0.928
19267,1,cultivable,0.884
12275,1,cultivable,0.988
20815,0,non-cultivable,0.984
11054,1,cultivable,0.952
782,0,non-cultivable,0.909
14845,0,non-cultivable,0.981
14216,1,cultivable,0.957
26597,0,non-cultivable,0.824
10427,1,cultivable,0.547
16832,1,cultivable,0.934
2245,1,cultivable,0.753
14391,0,non-cultivable,1.000
10642,0,non-cultivable,1.000
25733,1,cultivable,1.000
8192,1,cultivable,0.986
13024,0,non-cultivable,0.989
17159,0,non-cultivable,0.885
7707,0,non-cultivable,0.983
25217,1,cultivable,0.597
21579,1,cultivable,0.525
15423,1,cultivable,0.975
14317,0,non-cultivable,1.000
6581,0,non-cultivable,0.531
5953,0,non-cultivable,0.788
4455,1,cultivable,0.595
19761,0,non-cultivable,1.000
18368,0,non-cultivable,0.946
13574,0,non-cultivable,1.000
4252,0,non-cultivable,1.000
15080,0,non-cultivable,1.000
18461,0,non-cultivable,0.998
14480,1,cultivable,0.663
23980,0,non-cultivable,0.896
14588,0,non-cultivable,1.000
18304,1,cultivable,0.946
23259,1,cultivable,0.527
18164,0,non-cultivable,0.961
23934,1,cultivable,0.648
4602,1,cultivable,0.760
9660,1,cultivable,0.983
24164,0,non-cultivable,0.771
2400,0,non-cultivable,0.834
21306,1,cultivable,0.974
24759,1,cultivable,0.918
18734,0,non-cultivable,1.000
12973,1,cultivable,0.993
6594,0,non-cultivable,1.000
16310,1,cultivable,0.938
13207,1,cultivable,0.506
386,0,non-cultivable,1.000
530,0,non-cultivable,0.714
14615,0,non-cultivable,1.000
10867,0,non-cultivable,0.923
24304,1,cultivable,0.564
2468,1,cultivable,0.953
376,0,non-cultivable,0.567
16410,0,non-cultivable,1.000
15835,0,non-cultivable,1.000
20862,1,cultivable,0.996
6710,0,non-cultivable,0.523
1916,1,cultivable,0.675
22243,0,non-cultivable,1.000
16352,0,non-cultivable,1.000
3348,0,non-cultivable,0.999
13577,0,non-cultivable,1.000
16946,0,non-cultivable,1.000
17496,0,non-cultivable,1.000
7701,0,non-cultivable,0.937
11561,0,non-cultivable,0.661
1763,1,cultivable,0.732
11060,1,cultivable,0.839
15578,0,non-cultivable,0.997
23516,0,non-cultivable,1.000
13223,1,cultivable,0.999
19671,0,non-cultivable,1.000
8259,1,cultivable,0.927
19998,0,non-cultivable,0.994
21947,1,cultivable,0.961
1639,1,cultivable,0.994
12709,0,non-cultivable,0.803
25652,0,non-cultivable,0.992
642,0,non-cultivable,0.743
13792,0,non-cultivable,1.000
2403,1,cultivable,0.814
20166,0,non-cultivable,1.000
24727,0,non-cultivable,0.935
10012,1,cultivable,0.883
19176,0,non-cultivable,1.000
12196,1,cultivable,0.993
24583,0,non-cultivable,0.527
23051,1,cultivable,0.995
12210,1,cultivable,0.661
4312,0,non-cultivable,0.947
10736,1,cultivable,0.997
15024,0,non-cultivable,0.753
16251,1,cultivable,0.533
22507,1,cultivable,0.717
11832,0,non-cultivable,0.996
4282,1,cultivable,0.960
2494,0,non-cultivable,0.683
4069,1,cultivable,0.914
10125,0,non-cultivable,0.799
9642,0,non-cultivable,0.563
9843,0,non-cultivable,1.000
25043,1,cultivable,0.858
13751,0,non-cultivable,0.597
20912,1,cultivable,0.510
4863,0,non-cultivable,0.938
9066,1,cultivable,0.863
24542,1,cultivable,0.989
10568,0,non-cultivable,1.000
7711,0,non-cultivable,0.785
18050,0,non-cultivable,1.000
7721,0,non-cultivable,0.951
9481,0,non-cultivable,0.894
23648,0,non-cultivable,0.832
24649,1,cultivable,0.822
24923,0,non-cultivable,0.653
12160,1,cultivable,0.994
21493,0,non-cultivable,1.000
5528,0,non-cultivable,1.000
17078,1,cultivable,0.712
13370,0,non-cultivable,1.000
9494,0,non-cultivable,0.754
26477,1,cultivable,0.956
25693,0,non-cultivable,1.000
7179,0,non-cultivable,1.000
12120,1,cultivable,0.849
11345,0,non-cultivable,1.000
3845,0,non-cultivable,0.959
22822,0,non-cultivable,0.603
2142,1,cultivable,0.821
19241,0,non-cultivable,1.000
6995,0,non-cultivable,0.995
1236,0,non-cultivable,0.933
16505,0,non-cultivable,1.000
21866,0,non-cultivable,0.867
16187,1,cultivable,0.981
8126,1,cultivable,0.897
6044,0,non-cultivable,0.529
16130,0,non-cultivable,1.000
4275,0,non-cultivable,1.000
5373,1,cultivable,0.843
23150,0,non-cultivable,1.000
2200,0,non-cultivable,0.924
6632,1,cultivable,0.856
3069,0,non-cultivable,0.993
9230,0,non-cultivable,0.994
17330,0,non-cultivable,1.000
5471,0,non-cultivable,1.000
2133,0,non-cultivable,0.975
14432,1,cultivable,0.955
6667,1,cultivable,0.703
23246,0,non-cultivable,0.770
16632,1,cultivable,0.986
6449,1,cultivable,0.934
7566,0,non-cultivable,0.979
24655,1,cultivable,1.000
5038,1,cultivable,0.871
4620,0,non-cultivable,0.935
11689,1,cultivable,0.998
14226,0,non-cultivable,1.000
4130,0,non-cultivable,0.963
7237,1,cultivable,0.756
7007,0,non-cultivable,0.998
21875,0,non-cultivable,1.000
12154,1,cultivable,0.945
14059,0,non-cultivable,0.906
15373,0,non-cultivable,1.000
7730,1,cultivable,0.825
15152,0,non-cultivable,1.000
17204,1,cultivable,0.614
23162,1,cultivable,0.964
13730,1,cultivable,0.932
8908,0,non-cultivable,1.000
17459,0,non-cultivable,1.000
11086,0,non-cultivable,1.000
18319,0,non-cultivable,1.000
16552,0,non-cultivable,0.965
19010,1,cultivable,0.920
23970,0,non-cultivable,0.824
21662,1,cultivable,0.993
25178,1,cultivable,1.000
23681,0,non-cultivable,0.832
19611,0,non-cultivable,1.000
3583,0,non-cultivable,1.000
15366,0,non-cultivable,1.000
7265,0,non-cultivable,0.918
18353,0,non-cultivable,0.529
8752,1,cultivable,0.800
26423,1,cultivable,1.000
770,0,non-cultivable,0.998
4688,1,cultivable,0.999
10853,0,non-cultivable,0.994
11641,0,non-cultivable,0.946
17847,0,non-cultivable,1.000
26066,0,non-cultivable,0.908
8949,0,non-cultivable,0.930
24700,0,non-cultivable,1.000
15026,0,non-cultivable,0.996
10011,0,non-cultivable,0.514
4645,0,non-cultivable,0.785
25564,1,cultivable,1.000
3097,1,cultivable,0.798
442,0,non-cultivable,0.592
22158,0,non-cultivable,1.000
18106,0,non-cultivable,0.881
12971,0,non-cultivable,1.000
10650,0,non-cultivable,0.932
18909,0,non-cultivable,0.691
3254,1,cultivable,0.823
7336,1,cultivable,0.930
19052,0,non-cultivable,1.000
21295,1,cultivable,0.992
10524,0,non-cultivable,1.000
23892,1,cultivable,0.713
22418,0,non-cultivable,1.000
10172,0,non-cultivable,0.544
26516,1,cultivable,1.000
11533,0,non-cultivable,0.872
22097,0,non-cultivable,0.687
20440,1,cultivable,0.919
21408,1,cultivable,0.922
22975,0,non-cultivable,0.735
14295,0,non-cultivable,1.000
22872,0,non-cultivable,0.769
18502,0,non-cultivable,0.985
221,0,non-cultivable,0.584
2220,0,non-cultivable,0.801
22293,0,non-cultivable,1.000
7503,0,non-cultivable,0.996
5487,0,non-cultivable,0.982
9774,1,cultivable,0.769
15752,0,non-cultivable,0.621
11884,0,non-cultivable,0.939
26251,0,non-cultivable,0.520
15541,1,cultivable,0.906
25206,1,cultivable,1.000
12073,0,non-cultivable,1.000
9214,0,non-cultivable,0.599
9025,0,non-cultivable,0.877
16287,1,cultivable,0.890
20275,0,non-cultivable,0.629
17981,0,non-cultivable,0.847
17448,0,non-cultivable,1.000
26091,1,cultivable,1.000
4226,1,cultivable,0.994
9836,0,non-cultivable,0.665
21779,1,cultivable,0.742
149,0,non-cultivable,1.000
12425,1,cultivable,0.996
15303,0,non-cultivable,1.000
1148,1,cultivable,0.858
5578,1,cultivable,0.765
24551,1,cultivable,0.952
25992,1,cultivable,1.000
19953,0,non-cultivable,0.982
17585,1,cultivable,0.964
3890,0,non-cultivable,0.807
2358,0,non-cultivable,0.848
23588,0,non-cultivable,0.999
21987,0,non-cultivable,0.993
1499,0,non-cultivable,0.518
13142,0,non-cultivable,0.785
23527,0,non-cultivable,0.745
2787,1,cultivable,0.575
25363,1,cultivable,1.000
19703,0,non-cultivable,0.817
14922,1,cultivable,0.998
11339,0,non-cultivable,0.999
25496,1,cultivable,0.996
19708,1,cultivable,0.972
24228,0,non-cultivable,1.000
17150,0,non-cultivable,0.997
3959,0,non-cultivable,0.998
8786,1,cultivable,0.840
16972,0,non-cultivable,0.995
26782,1,cultivable,1.000
19937,1,cultivable,0.967
21908,0,non-cultivable,0.509
22269,1,cultivable,0.921
1628,1,cultivable,0.782
25692,0,non-cultivable,0.976
8783,0,non-cultivable,0.890
10547,0,non-cultivable,0.989
11588,0,non-cultivable,1.000
11718,0,non-cultivable,1.000
23328,0,non-cultivable,0.833
11652,1,cultivable,0.664
3634,0,non-cultivable,1.000
24525,0,non-cultivable,0.865
9171,0,non-cultivable,0.903
3352,0,non-cultivable,0.730
11575,0,non-cultivable,0.989
4438,1,cultivable,0.936
12721,1,cultivable,0.952
12477,1,cultivable,0.715
12508,1,cultivable,0.984
23912,1,cultivable,0.649
5755,0,non-cultivable,0.939
15914,0,non-cultivable,0.907
16194,1,cultivable,0.812
15121,0,non-cultivable,0.986
9284,1,cultivable,0.696
9129,1,cultivable,0.755
7899,1,cultivable,0.779
16484,1,cultivable,0.914
12755,1,cultivable,0.944
19080,0,non-cultivable,0.895
12805,0,non-cultivable,1.000
5548,1,cultivable,0.945
17880,0,non-cultivable,0.999
21188,0,non-cultivable,0.700
17761,1,cultivable,0.502
9813,0,non-cultivable,0.997
25077,0,non-cultivable,0.801
15434,1,cultivable,0.941
21862,0,non-cultivable,0.990
12279,0,non-cultivable,1.000
20986,0,non-cultivable,0.907
15605,0,non-cultivable,1.000
11072,0,non-cultivable,0.849
11301,1,cultivable,0.935
14884,0,non-cultivable,1.000
13920,0,non-cultivable,1.000
2409,0,non-cultivable,0.937
14932,1,cultivable,0.906
1977,1,cultivable,0.995
21749,1,cultivable,0.858
24206,1,cultivable,0.878
24892,1,cultivable,1.000
16129,0,non-cultivable,1.000
8106,0,non-cultivable,0.896
21826,0,non-cultivable,0.554
4234,1,cultivable,0.924
9425,1,cultivable,0.554
9211,0,non-cultivable,0.983
4847,1,cultivable,0.996
16330,0,non-cultivable,1.000
7084,1,cultivable,0.964
5142,0,non-cultivable,0.999
2908,0,non-cultivable,0.838
5691,1,cultivable,0.959
23443,1,cultivable,0.921
21848,1,cultivable,0.990
1059,1,cultivable,0.772
6615,1,cultivable,0.687
5150,0,non-cultivable,0.892
25331,0,non-cultivable,0.967
16572,1,cultivable,0.999
13303,0,non-cultivable,1.000
18198,0,non-cultivable,1.000
26262,1,cultivable,0.903
14456,0,non-cultivable,0.658
13591,0,non-cultivable,0.998
5826,1,cultivable,0.878
12778,1,cultivable,0.945
14604,0,non-cultivable,1.000
5003,0,non-cultivable,0.677
11597,0,non-cultivable,0.999
22733,1,cultivable,0.974
7885,1,cultivable,0.750
5098,0,non-cultivable,0.882
11914,1,cultivable,0.926
17027,1,cultivable,0.830
15698,0,non-cultivable,0.934
6459,1,cultivable,0.999
10893,0,non-cultivable,0.999
676,1,cultivable,0.996
11513,0,non-cultivable,0.609
5587,1,cultivable,0.755
26808,1,cultivable,0.955
19805,0,non-cultivable,1.000
25972,1,cultivable,1.000
19709,1,cultivable,0.975
2765,0,non-cultivable,0.633
9854,1,cultivable,0.753
7942,0,non-cultivable,0.991
20846,1,cultivable,0.982
16076,0,non-cultivable,1.000
25720,0,non-cultivable,0.978
24123,0,non-cultivable,0.674
6479,1,cultivable,0.994
22074,0,non-cultivable,0.553
21352,1,cultivable,0.904
26674,1,cultivable,1.000
4450,1,cultivable,0.780
24266,1,cultivable,0.533
1165,0,non-cultivable,0.736
2007,0,non-cultivable,1.000
19056,0,non-cultivable,1.000
5515,0,non-cultivable,1.000
102,1,cultivable,0.991
7574,0,non-cultivable,1.000
18759,1,cultivable,0.843
7188,0,non-cultivable,0.870
7817,0,non-cultivable,0.697
18450,1,cultivable,0.687
3844,0,non-cultivable,1.000
605,1,cultivable,0.925
148,0,non-cultivable,1.000
16803,1,cultivable,0.630
776,1,cultivable,0.833
19217,1,cultivable,0.977
5837,1,cultivable,0.876
13897,1,cultivable,0.689
9792,1,cultivable,0.974
20957,0,non-cultivable,0.711
9342,1,cultivable,0.998
5868,0,non-cultivable,1.000
3503,1,cultivable,0.962
16006,1,cultivable,0.698
4702,1,cultivable,0.976
6675,1,cultivable,0.901
2322,0,non-cultivable,0.986
15192,0,non-cultivable,0.715
351,1,cultivable,0.868
14674,1,cultivable,0.865
20420,1,cultivable,0.646
17197,1,cultivable,0.851
13593,0,non-cultivable,0.987
10929,1,cultivable,0.765
20010,0,non-cultivable,1.000
22002,0,non-cultivable,0.846
23323,1,cultivable,0.566
8814,0,non-cultivable,0.684
9243,0,non-cultivable,0.614
21610,0,non-cultivable,1.000
15686,1,cultivable,0.919
3848,0,non-cultivable,0.590
20917,1,cultivable,0.989
23762,1,cultivable,0.973
2679,1,cultivable,0.836
16461,1,cultivable,0.969
8132,1,cultivable,0.914
24400,1,cultivable,0.575
24453,1,cultivable,0.655
4706,1,cultivable,0.548
484,1,cultivable,0.933
13314,0,non-cultivable,1.000
4637,0,non-cultivable,1.000
5833,0,non-cultivable,0.560
2564,1,cultivable,0.998
2257,1,cultivable,0.922
10660,0,non-cultivable,1.000
2045,1,cultivable,0.979
3315,1,cultivable,0.916
8300,0,non-cultivable,0.933
24980,1,cultivable,0.685
6729,0,non-cultivable,0.957
3368,0,non-cultivable,0.997
6178,0,non-cultivable,0.918
8118,1,cultivable,0.959
19604,0,non-cultivable,1.000
12483,1,cultivable,0.729
22373,1,cultivable,0.891
10443,1,cultivable,0.738
25691,0,non-cultivable,0.905
15570,0,non-cultivable,1.000
12732,1,cultivable,0.736
16902,0,non-cultivable,0.629
18689,0,non-cultivable,1.000
7112,0,non-cultivable,0.505
2145,1,cultivable,0.735
13093,0,non-cultivable,1.000
645,1,cultivable,0.984
22724,1,cultivable,0.981
25182,1,cultivable,1.000
1669,0,non-cultivable,0.994
12268,0,non-cultivable,0.585
19949,0,non-cultivable,0.750
17679,0,non-cultivable,1.000
8370,1,cultivable,0.638
15656,0,non-cultivable,1.000
23929,1,cultivable,0.961
6024,0,non-cultivable,0.948
2676,1,cultivable,0.970
15145,0,non-cultivable,0.985
24195,1,cultivable,0.681
3393,0,non-cultivable,1.000
26125,0,non-cultivable,0.980
8778,0,non-cultivable,0.959
5370,1,cultivable,0.967
3547,1,cultivable,0.948
1058,1,cultivable,0.797
15475,0,non-cultivable,0.809
3641,0,non-cultivable,0.986
16634,0,non-cultivable,0.999
2479,1,cultivable,0.981
1306,1,cultivable,0.587
22814,0,non-cultivable,1.000
1706,1,cultivable,0.956
5958,0,non-cultivable,0.845
9476,1,cultivable,0.507
9032,0,non-cultivable,0.639
10435,0,non-cultivable,0.999
22578,0,non-cultivable,0.960
2929,1,cultivable,0.981
11311,0,non-cultivable,0.542
10958,1,cultivable,0.813
15503,0,non-cultivable,0.584
21169,0,non-cultivable,0.757
19378,0,non-cultivable,0.924
10324,0,non-cultivable,0.999
2910,0,non-cultivable,0.994
14627,0,non-cultivable,1.000
24351,1,cultivable,0.999
3709,0,non-cultivable,0.801
22283,1,cultivable,0.986
9245,0,non-cultivable,0.952
23309,0,non-cultivable,0.709
4597,1,cultivable,0.751
12392,1,cultivable,0.794
10382,0,non-cultivable,0.982
3911,0,non-cultivable,1.000
18356,0,non-cultivable,0.996
16070,0,non-cultivable,1.000
8713,1,cultivable,0.726
2648,1,cultivable,0.998
26701,1,cultivable,1.000
9084,1,cultivable,0.988
16436,0,non-cultivable,0.958
15938,1,cultivable,0.897
7289,1,cultivable,0.859
18588,0,non-cultivable,1.000
20655,0,non-cultivable,0.879
2310,1,cultivable,0.874
23303,0,non-cultivable,1.000
17874,0,non-cultivable,0.998
21356,1,cultivable,0.973
6105,1,cultivable,0.562
985,0,non-cultivable,0.712
14573,0,non-cultivable,0.983
7789,0,non-cultivable,1.000
11107,0,non-cultivable,0.954
25171,1,cultivable,0.861
19092,0,non-cultivable,1.000
12230,1,cultivable,0.971
23472,0,non-cultivable,0.509
23124,1,cultivable,0.866
9785,1,cultivable,0.897
18042,0,non-cultivable,1.000
17978,0,non-cultivable,0.998
1684,1,cultivable,0.771
21370,0,non-cultivable,0.708
273,1,cultivable,0.863
24839,1,cultivable,1.000
23950,0,non-cultivable,0.870
18789,0,non-cultivable,0.655
22843,0,non-cultivable,0.570
22314,0,non-cultivable,0.766
21641,1,cultivable,0.944
25167,1,cultivable,0.936
23508,0,non-cultivable,0.899
19058,0,non-cultivable,1.000
15148,0,non-cultivable,1.000
17744,0,non-cultivable,0.750
15067,0,non-cultivable,1.000
2689,0,non-cultivable,0.990
4437,1,cultivable,0.756
8437,1,cultivable,0.988
13332,0,non-cultivable,1.000
17549,0,non-cultivable,0.880
18521,0,non-cultivable,1.000
17514,0,non-cultivable,1.000
5620,1,cultivable,0.989
10674,0,non-cultivable,0.845
21722,1,cultivable,0.948
142,1,cultivable,0.997
15695,0,non-cultivable,0.710
18686,0,non-cultivable,0.981
5729,0,non-cultivable,1.000
22675,0,non-cultivable,0.647
3560,0,non-cultivable,0.956
16369,0,non-cultivable,1.000
26617,1,cultivable,1.000
19843,0,non-cultivable,0.901
20759,1,cultivable,0.948
10919,0,non-cultivable,0.502
7436,0,non-cultivable,0.998
20312,1,cultivable,0.982
6467,0,non-cultivable,0.938
13605,0,non-cultivable,1.000
5605,0,non-cultivable,1.000
26614,1,cultivable,1.000
24967,1,cultivable,1.000
8406,1,cultivable,0.999
8369,0,non-cultivable,0.757
1680,1,cultivable,0.964
24745,0,non-cultivable,0.616
9492,1,cultivable,0.764
11846,0,non-cultivable,1.000
3241,1,cultivable,0.982
541,1,cultivable,0.998
9590,0,non-cultivable,1.000
13689,1,cultivable,0.773
8205,1,cultivable,0.910
8071,0,non-cultivable,1.000
20582,0,non-cultivable,0.990
5750,0,non-cultivable,0.654
11636,1,cultivable,0.790
19966,0,non-cultivable,1.000
20734,0,non-cultivable,0.956
21424,0,non-cultivable,1.000
9324,1,cultivable,0.537
438,1,cultivable,0.957
4514,1,cultivable,0.748
13126,0,non-cultivable,1.000
12662,1,cultivable,0.984
25014,0,non-cultivable,1.000
24036,0,non-cultivable,0.866
22022,0,non-cultivable,1.000
9742,1,cultivable,0.841
219,0,non-cultivable,1.000
21234,0,non-cultivable,0.999
2161,0,non-cultivable,0.893
19569,0,non-cultivable,0.988
10826,1,cultivable,0.666
16289,0,non-cultivable,0.956
5416,0,non-cultivable,0.999
6101,0,non-cultivable,1.000
14139,0,non-cultivable,1.000
26047,1,cultivable,1.000
19401,1,cultivable,0.953
19678,1,cultivable,0.940
5112,0,non-cultivable,1.000
16903,0,non-cultivable,0.813
18192,0,non-cultivable,0.995
9623,0,non-cultivable,0.651
489,1,cultivable,0.795
26364,1,cultivable,1.000
16807,1,cultivable,0.592
12224,1,cultivable,0.838
26348,1,cultivable,0.999
2896,1,cultivable,0.930
1184,1,cultivable,0.771
18266,0,non-cultivable,0.967
16788,0,non-cultivable,1.000
9631,1,cultivable,0.903
13031,1,cultivable,0.995
15638,0,non-cultivable,1.000
15945,0,non-cultivable,0.846
9265,0,non-cultivable,0.559
6740,0,non-cultivable,1.000
25632,0,non-cultivable,0.691
11037,1,cultivable,0.997
8315,1,cultivable,0.861
22389,1,cultivable,0.999
3662,1,cultivable,0.961
19658,0,non-cultivable,0.992
18126,0,non-cultivable,0.914
18717,1,cultivable,0.845
26754,1,cultivable,1.000
2684,1,cultivable,0.997
1239,1,cultivable,0.995
16861,1,cultivable,0.814
19608,0,non-cultivable,1.000
12211,0,non-cultivable,1.000
5478,0,non-cultivable,1.000
5465,1,cultivable,0.786
14066,0,non-cultivable,1.000
22064,0,non-cultivable,0.701
24612,0,non-cultivable,0.544
8047,0,non-cultivable,0.957
3135,1,cultivable,0.715
7384,1,cultivable,0.995
6438,1,cultivable,0.998
26216,1,cultivable,1.000
16919,0,non-cultivable,0.969
2361,1,cultivable,0.553
26166,1,cultivable,1.000
198,1,cultivable,0.964
2534,0,non-cultivable,0.931
9654,0,non-cultivable,0.998
11600,0,non-cultivable,0.999
11260,1,cultivable,0.627
8321,0,non-cultivable,1.000
19769,0,non-cultivable,0.994
20348,0,non-cultivable,1.000
19421,0,non-cultivable,1.000
6576,0,non-cultivable,0.970
23582,1,cultivable,0.942
3152,1,cultivable,0.647
8923,0,non-cultivable,0.771
21748,1,cultivable,0.984
6348,0,non-cultivable,0.937
21933,1,cultivable,1.000
22380,1,cultivable,0.822
9305,1,cultivable,0.990
9891,1,cultivable,0.533
19995,0,non-cultivable,0.751
22702,0,non-cultivable,0.788
2806,1,cultivable,0.776
1054,1,cultivable,0.998
7143,0,non-cultivable,0.962
25327,1,cultivable,0.957
13933,1,cultivable,0.955
17076,1,cultivable,0.927
3544,1,cultivable,0.961
10240,1,cultivable,0.995
23510,1,cultivable,0.705
4579,0,non-cultivable,0.712
3837,0,non-cultivable,0.580
26698,1,cultivable,1.000
17643,0,non-cultivable,1.000
589,1,cultivable,0.829
25433,1,cultivable,0.997
6381,0,non-cultivable,0.921
