index,cultivable,predicted_class,conf
11857,0,non-cultivable,0.999
8353,0,non-cultivable,0.857
15335,0,non-cultivable,0.990
3800,1,cultivable,0.947
24619,1,cultivable,0.510
13308,0,non-cultivable,1.000
19388,1,cultivable,0.604
12088,0,non-cultivable,0.997
14115,0,non-cultivable,0.974
14140,0,non-cultivable,0.999
13517,0,non-cultivable,0.830
2325,0,non-cultivable,1.000
5176,0,non-cultivable,0.998
251,1,cultivable,0.999
239,0,non-cultivable,1.000
19099,1,cultivable,0.816
26379,0,non-cultivable,0.926
20704,0,non-cultivable,1.000
3472,1,cultivable,0.934
5590,1,cultivable,0.698
2687,0,non-cultivable,0.999
12959,0,non-cultivable,0.536
25209,1,cultivable,1.000
20940,1,cultivable,0.943
16789,0,non-cultivable,0.993
11242,0,non-cultivable,1.000
4575,1,cultivable,0.969
22915,1,cultivable,0.689
3323,1,cultivable,0.995
15699,0,non-cultivable,0.981
20738,0,non-cultivable,0.948
5189,1,cultivable,0.969
20673,0,non-cultivable,0.967
21246,0,non-cultivable,0.996
25825,0,non-cultivable,0.784
21745,0,non-cultivable,0.698
6200,1,cultivable,0.977
13019,0,non-cultivable,0.600
13354,0,non-cultivable,0.999
18000,0,non-cultivable,0.648
26721,1,cultivable,1.000
2280,1,cultivable,0.934
15809,1,cultivable,0.988
26810,1,cultivable,0.646
25680,1,cultivable,0.972
942,0,non-cultivable,0.997
15099,0,non-cultivable,0.999
13481,1,cultivable,0.551
6738,0,non-cultivable,1.000
8943,0,non-cultivable,0.996
17176,1,cultivable,0.616
13959,1,cultivable,0.749
14071,0,non-cultivable,0.995
9443,0,non-cultivable,1.000
13133,0,non-cultivable,0.981
1828,1,cultivable,0.989
9562,1,cultivable,0.991
10109,0,non-cultivable,0.992
8997,1,cultivable,0.962
22116,1,cultivable,0.863
17477,0,non-cultivable,0.970
22722,1,cultivable,0.996
13865,0,non-cultivable,1.000
26691,1,cultivable,0.807
22956,1,cultivable,0.549
3206,0,non-cultivable,0.999
17490,0,non-cultivable,0.999
7039,0,non-cultivable,0.983
12946,1,cultivable,0.815
1231,1,cultivable,0.945
3564,0,non-cultivable,0.857
25394,1,cultivable,0.671
7491,0,non-cultivable,0.794
24336,0,non-cultivable,0.763
22815,1,cultivable,0.712
12244,0,non-cultivable,0.622
11432,1,cultivable,0.956
16428,0,non-cultivable,0.584
4165,0,non-cultivable,1.000
11537,0,non-cultivable,1.000
16602,0,non-cultivable,0.785
758,1,cultivable,0.652
586,1,cultivable,0.984
24580,0,non-cultivable,0.768
25739,1,cultivable,1.000
4492,0,non-cultivable,0.996
18809,0,non-cultivable,0.755
6168,0,non-cultivable,0.977
26222,1,cultivable,0.958
20977,1,cultivable,0.752
15467,1,cultivable,0.909
23132,0,non-cultivable,0.606
524,0,non-cultivable,0.735
4889,0,non-cultivable,1.000
7644,0,non-cultivable,0.999
12754,1,cultivable,0.690
3793,1,cultivable,0.863
26214,1,cultivable,1.000
5128,0,non-cultivable,0.988
1218,0,non-cultivable,0.600
25741,1,cultivable,0.999
23573,1,cultivable,0.641
24737,1,cultivable,0.924
12528,0,non-cultivable,1.000
23963,0,non-cultivable,0.996
18233,0,non-cultivable,0.993
15631,0,non-cultivable,1.000
14275,1,cultivable,0.945
17833,0,non-cultivable,0.932
11412,1,cultivable,0.804
347,0,non-cultivable,1.000
18997,0,non-cultivable,0.997
2799,1,cultivable,0.888
17386,1,cultivable,0.813
5795,1,cultivable,0.831
2775,1,cultivable,0.824
18755,1,cultivable,0.999
10835,0,non-cultivable,1.000
18942,1,cultivable,0.997
21030,1,cultivable,0.971
3366,0,non-cultivable,0.736
24081,0,non-cultivable,0.924
17185,0,non-cultivable,0.728
25695,0,non-cultivable,1.000
25876,1,cultivable,0.512
16970,0,non-cultivable,0.909
6490,0,non-cultivable,1.000
1391,0,non-cultivable,0.919
10290,1,cultivable,0.806
20741,0,non-cultivable,1.000
10368,0,non-cultivable,0.999
1936,1,cultivable,0.837
26505,0,non-cultivable,0.636
18932,1,cultivable,0.723
8204,1,cultivable,0.992
18090,1,cultivable,0.978
25710,0,non-cultivable,0.994
509,1,cultivable,0.891
1530,1,cultivable,0.946
15333,0,non-cultivable,1.000
4812,0,non-cultivable,0.615
17026,0,non-cultivable,0.616
19928,1,cultivable,0.879
6800,0,non-cultivable,0.940
4598,1,cultivable,0.782
20540,0,non-cultivable,0.878
26468,1,cultivable,1.000
12256,1,cultivable,0.885
22375,1,cultivable,0.709
26122,0,non-cultivable,0.993
4838,0,non-cultivable,1.000
23177,1,cultivable,0.695
8436,1,cultivable,0.749
12418,0,non-cultivable,1.000
13940,1,cultivable,0.989
22998,1,cultivable,0.931
23873,1,cultivable,0.578
12913,0,non-cultivable,0.715
23033,1,cultivable,0.961
21581,0,non-cultivable,0.770
2873,0,non-cultivable,0.930
9980,0,non-cultivable,0.989
13344,0,non-cultivable,0.997
17557,1,cultivable,0.554
14132,0,non-cultivable,1.000
4781,1,cultivable,0.974
16415,0,non-cultivable,1.000
284,1,cultivable,0.903
12243,1,cultivable,0.771
74,0,non-cultivable,0.998
14373,0,non-cultivable,1.000
19187,0,non-cultivable,0.998
21799,1,cultivable,0.759
13367,0,non-cultivable,1.000
5697,0,non-cultivable,0.978
20632,0,non-cultivable,0.887
13393,1,cultivable,0.800
10885,0,non-cultivable,1.000
10391,1,cultivable,0.652
800,1,cultivable,0.947
10147,0,non-cultivable,1.000
6756,1,cultivable,0.647
5379,1,cultivable,0.985
410,1,cultivable,0.993
3577,0,non-cultivable,0.835
23227,0,non-cultivable,1.000
17798,0,non-cultivable,1.000
3502,1,cultivable,0.988
6196,1,cultivable,0.636
9472,0,non-cultivable,0.994
6957,0,non-cultivable,1.000
3490,1,cultivable,0.829
25816,0,non-cultivable,0.575
20901,0,non-cultivable,0.993
15923,0,non-cultivable,0.682
18779,1,cultivable,0.737
19345,0,non-cultivable,0.945
13144,0,non-cultivable,0.994
15292,0,non-cultivable,0.999
2567,0,non-cultivable,1.000
1252,1,cultivable,0.866
13163,1,cultivable,0.987
3638,0,non-cultivable,1.000
8566,1,cultivable,0.654
17290,1,cultivable,0.709
14561,0,non-cultivable,1.000
8685,0,non-cultivable,1.000
15644,0,non-cultivable,1.000
16723,1,cultivable,0.608
12864,0,non-cultivable,1.000
13145,0,non-cultivable,0.948
9955,0,non-cultivable,0.999
3701,1,cultivable,0.542
25036,0,non-cultivable,0.980
1486,0,non-cultivable,1.000
14992,1,cultivable,0.894
15579,0,non-cultivable,0.998
12638,1,cultivable,0.855
1020,1,cultivable,0.543
13443,1,cultivable,0.806
8414,1,cultivable,0.919
5850,1,cultivable,0.740
4531,1,cultivable,0.801
13018,0,non-cultivable,0.983
12278,1,cultivable,0.711
20728,0,non-cultivable,1.000
24849,1,cultivable,0.951
26159,1,cultivable,0.999
15934,0,non-cultivable,1.000
21632,0,non-cultivable,0.867
21732,1,cultivable,0.943
24900,1,cultivable,1.000
5022,1,cultivable,0.948
10973,1,cultivable,0.996
14861,0,non-cultivable,1.000
25660,0,non-cultivable,0.999
12682,1,cultivable,0.883
24338,0,non-cultivable,0.874
6801,0,non-cultivable,0.971
17901,0,non-cultivable,0.536
6016,1,cultivable,0.704
13118,0,non-cultivable,0.999
5813,0,non-cultivable,1.000
17507,0,non-cultivable,0.999
5896,0,non-cultivable,0.961
10423,0,non-cultivable,0.999
11510,0,non-cultivable,0.854
18481,0,non-cultivable,0.546
23512,1,cultivable,0.870
2656,0,non-cultivable,0.984
2001,1,cultivable,0.995
23219,1,cultivable,0.593
10195,0,non-cultivable,0.959
10335,0,non-cultivable,0.995
18485,1,cultivable,0.993
25419,1,cultivable,0.985
22755,0,non-cultivable,0.965
21160,0,non-cultivable,0.662
23339,1,cultivable,0.987
26127,0,non-cultivable,0.769
2604,1,cultivable,0.758
11654,1,cultivable,0.996
9124,0,non-cultivable,0.851
5453,0,non-cultivable,0.846
4636,0,non-cultivable,0.991
18561,0,non-cultivable,0.996
6393,1,cultivable,0.638
21397,0,non-cultivable,0.936
19304,1,cultivable,0.992
5945,1,cultivable,0.669
26631,1,cultivable,1.000
22268,0,non-cultivable,0.813
10148,0,non-cultivable,0.979
17649,0,non-cultivable,0.999
1240,1,cultivable,0.977
15820,0,non-cultivable,0.995
21892,0,non-cultivable,0.933
8736,0,non-cultivable,1.000
21457,0,non-cultivable,0.606
20374,0,non-cultivable,1.000
14524,0,non-cultivable,1.000
12733,0,non-cultivable,0.871
5413,0,non-cultivable,0.997
15682,1,cultivable,0.828
16236,0,non-cultivable,0.976
11199,1,cultivable,0.998
7006,0,non-cultivable,1.000
24108,0,non-cultivable,0.877
7810,1,cultivable,0.907
16961,0,non-cultivable,0.998
10655,0,non-cultivable,0.995
13935,1,cultivable,0.782
18041,0,non-cultivable,1.000
23410,1,cultivable,0.960
19292,1,cultivable,0.689
24326,0,non-cultivable,0.924
19892,0,non-cultivable,0.546
4071,1,cultivable,0.985
21044,1,cultivable,0.989
25534,0,non-cultivable,0.991
21100,1,cultivable,0.745
23607,0,non-cultivable,0.982
26625,1,cultivable,0.592
8679,1,cultivable,0.729
6658,1,cultivable,0.996
19356,0,non-cultivable,1.000
18396,0,non-cultivable,1.000
24877,1,cultivable,1.000
25320,1,cultivable,1.000
9158,0,non-cultivable,0.941
12113,0,non-cultivable,0.821
17994,1,cultivable,0.749
6374,0,non-cultivable,0.837
19123,0,non-cultivable,0.876
14599,0,non-cultivable,1.000
17545,0,non-cultivable,0.779
10296,1,cultivable,0.751
15047,0,non-cultivable,1.000
3816,0,non-cultivable,0.966
23669,0,non-cultivable,0.521
11449,1,cultivable,0.742
10841,0,non-cultivable,1.000
12737,1,cultivable,0.886
2083,0,non-cultivable,0.980
17540,0,non-cultivable,0.652
22466,1,cultivable,0.794
4560,0,non-cultivable,1.000
14387,0,non-cultivable,1.000
14803,0,non-cultivable,1.000
3908,0,non-cultivable,1.000
20644,1,cultivable,0.978
1934,0,non-cultivable,0.959
25581,0,non-cultivable,1.000
20328,0,non-cultivable,1.000
15853,0,non-cultivable,1.000
837,0,non-cultivable,0.528
2044,1,cultivable,0.754
18633,0,non-cultivable,0.595
25861,1,cultivable,1.000
2735,0,non-cultivable,0.965
5887,0,non-cultivable,1.000
4640,0,non-cultivable,0.894
13233,0,non-cultivable,0.906
19828,1,cultivable,0.576
8249,0,non-cultivable,0.989
10289,1,cultivable,0.857
6641,1,cultivable,0.924
23201,1,cultivable,0.998
3613,0,non-cultivable,0.918
11213,1,cultivable,0.998
7653,0,non-cultivable,1.000
24545,1,cultivable,0.693
9540,1,cultivable,0.981
3512,1,cultivable,0.541
8360,0,non-cultivable,0.778
25995,1,cultivable,1.000
17902,1,cultivable,0.890
6166,0,non-cultivable,0.997
8055,0,non-cultivable,1.000
31,0,non-cultivable,0.901
18623,0,non-cultivable,1.000
10649,1,cultivable,0.620
13954,1,cultivable,0.980
26503,0,non-cultivable,0.996
17206,1,cultivable,0.976
11814,0,non-cultivable,0.997
23070,1,cultivable,0.522
23493,0,non-cultivable,0.770
5456,0,non-cultivable,0.709
577,1,cultivable,0.942
6895,1,cultivable,0.992
20780,0,non-cultivable,0.652
8472,0,non-cultivable,1.000
26795,1,cultivable,1.000
23169,1,cultivable,0.958
21225,1,cultivable,0.913
22609,0,non-cultivable,0.970
22625,1,cultivable,0.936
5536,0,non-cultivable,0.884
689,0,non-cultivable,0.673
9561,1,cultivable,0.906
8624,1,cultivable,0.868
24605,0,non-cultivable,0.675
20292,0,non-cultivable,0.937
19734,0,non-cultivable,0.999
21843,1,cultivable,0.997
14418,1,cultivable,0.936
15076,0,non-cultivable,0.998
14515,1,cultivable,0.850
5125,0,non-cultivable,1.000
19235,0,non-cultivable,1.000
23363,0,non-cultivable,0.807
17692,0,non-cultivable,0.979
20726,1,cultivable,0.852
7809,0,non-cultivable,0.539
590,0,non-cultivable,0.738
4632,0,non-cultivable,1.000
230,1,cultivable,0.993
14878,0,non-cultivable,0.999
65,0,non-cultivable,0.562
8248,0,non-cultivable,0.999
3411,1,cultivable,0.649
7359,0,non-cultivable,1.000
1488,0,non-cultivable,1.000
17704,0,non-cultivable,0.938
1538,0,non-cultivable,1.000
9136,0,non-cultivable,1.000
14398,0,non-cultivable,0.738
25252,1,cultivable,1.000
12022,1,cultivable,0.760
6435,1,cultivable,0.679
19108,0,non-cultivable,0.999
15595,0,non-cultivable,0.999
8970,0,non-cultivable,0.895
25746,1,cultivable,1.000
7968,1,cultivable,0.949
23729,1,cultivable,0.860
7533,1,cultivable,0.996
12126,0,non-cultivable,1.000
15297,1,cultivable,0.924
9360,0,non-cultivable,1.000
5499,0,non-cultivable,0.710
14075,0,non-cultivable,1.000
21046,0,non-cultivable,0.976
11040,0,non-cultivable,0.657
15757,1,cultivable,0.772
24250,0,non-cultivable,0.706
12389,0,non-cultivable,0.997
23596,1,cultivable,0.567
6856,1,cultivable,0.804
23895,1,cultivable,0.885
6079,0,non-cultivable,1.000
17404,0,non-cultivable,0.673
16504,0,non-cultivable,0.667
7500,0,non-cultivable,0.980
2466,0,non-cultivable,0.730
11384,0,non-cultivable,0.982
3807,1,cultivable,0.818
2076,1,cultivable,0.845
19636,0,non-cultivable,1.000
14926,1,cultivable,0.671
2740,1,cultivable,0.976
19562,1,cultivable,0.558
26031,1,cultivable,1.000
17845,0,non-cultivable,0.983
18861,0,non-cultivable,1.000
15258,1,cultivable,0.883
26598,1,cultivable,1.000
3763,0,non-cultivable,0.995
6519,0,non-cultivable,1.000
16156,0,non-cultivable,1.000
26204,1,cultivable,1.000
5585,1,cultivable,0.714
25855,1,cultivable,1.000
3233,0,non-cultivable,1.000
18793,1,cultivable,0.504
15409,0,non-cultivable,0.984
2056,1,cultivable,0.986
11532,0,non-cultivable,0.782
2434,0,non-cultivable,1.000
23894,1,cultivable,0.952
9830,1,cultivable,0.960
13228,1,cultivable,0.878
13952,1,cultivable,0.965
